iter	Passed	Remaining
0	3	3225
1	6	3134
2	8	2901
3	10	2718
4	12	2567
5	15	2561
6	17	2513
7	20	2481
8	22	2521
9	25	2497
10	27	2476
11	29	2445
12	31	2417
13	33	2383
14	36	2371
15	39	2406
16	41	2382
17	43	2376
18	45	2373
19	48	2366
20	50	2349
21	52	2340
22	55	2342
23	57	2345
24	59	2330
25	61	2316
26	63	2302
27	66	2291
28	68	2290
29	70	2282
30	72	2272
31	74	2262
32	77	2258
33	79	2247
34	81	2243
35	84	2249
36	86	2248
37	88	2244
38	90	2238
39	93	2235
40	95	2233
41	97	2234
42	100	2235
43	102	2232
44	104	2222
45	106	2211
46	108	2200
47	110	2194
48	112	2191
49	115	2191
50	117	2191
51	119	2184
52	121	2177
53	123	2170
54	126	2169
55	127	2153
56	129	2144
57	131	2140
58	133	2132
59	135	2123
60	137	2117
61	139	2113
62	141	2111
63	143	2104
64	145	2096
65	147	2094
66	149	2087
67	151	2081
68	153	2076
69	155	2070
70	157	2063
71	159	2056
72	161	2049
73	163	2046
74	165	2040
75	167	2034
76	169	2033
77	171	2027
78	173	2022
79	175	2017
80	177	2011
81	179	2010
82	181	2005
83	183	2000
84	185	1995
85	187	1989
86	189	1983
87	190	1977
88	192	1971
89	194	1969
90	196	1965
91	198	1962
92	201	1960
93	202	1956
94	204	1951
95	206	1946
96	208	1942
97	210	1941
98	212	1937
99	215	1935
100	217	1932
101	218	1927
102	220	1923
103	222	1919
104	224	1914
105	226	1912
106	228	1909
107	230	1905
108	232	1901
109	234	1897
110	236	1893
111	238	1889
112	240	1885
113	242	1884
114	244	1881
115	246	1879
116	248	1875
117	250	1872
118	252	1869
119	254	1869
120	257	1868
121	259	1870
122	262	1869
123	264	1866
